mba,MBA,publisher_un4,2181,Untouched
mba,MBA,publisher_un5,2016,Untouched
mba,MBA,referral_followup1,50,Follow Up
mba,MBA,referral_followup2,46,Follow Up
mba,MBA,referral_followup3,6,Follow Up
mba,MBA,referral_msg_4,1,All Stages
mba,MBA,referral_nc1,273,Not Connected
mba,MBA,referral_nc2,248,Not Connected
mba,MBA,referral_nc3,45,Not Connected
mba,MBA,referral_notelig1,54,Not Eligible
mba,MBA,referral_notint1,174,Not Interested
mba,MBA,referral_un1,119,Untouched
mba,MBA,referral_un2,6,Untouched
mba,MBA,referral_un3,8,Untouched
mba,MBA,referral_un4,7,Untouched
mba,MBA,referral_un5,4,Untouched
mba,MBA,substage_followup1,228,Follow Up
mba,MBA,substage_followup2,869,Follow Up
mba,MBA,substage_followup3,761,Follow Up
mba,MBA,substage_followup4,694,Follow Up
mba,MBA,substage_followup5,578,Follow Up
mba,MBA,substage_interested,1014,Interested & Eligible
mba,MBA,substage_nc1,5115,Not Connected
mba,MBA,substage_nc2,17571,Not Connected
mba,MBA,substage_nc3,16049,Not Connected
mba,MBA,substage_nc4,14493,Not Connected
mba,MBA,substage_nc5,13404,Not Connected
mba,MBA,substage_nc6,9879,Not Connected
mba,MBA,substage_nc7,8155,Not Connected
mba,MBA,substage_not_eligible,827,Not Eligible
mba,MBA,substage_not_interested,8884,Not Interested
mba,MBA,walkin_followup2,20,Follow Up
mba,MBA,walkin_followup3,20,Follow Up
mba,MBA,walkin_nc1,27,Not Connected
mba,MBA,walkin_nc2,23,Not Connected
mba,MBA,walkin_nc3,2,Not Connected
mba,MBA,walkin_notelig1,2,Not Eligible
mba,MBA,walkin_notint1,14,Not Interested
mba,MBA,walkin_un1,26,Untouched
mba,MBA,walkin_un2,2,Untouched
