workspace_slug,workspace_name,source,Primary
idm,IDM,ca55 KA91,
idm,IDM,ca55 kapp01,
idm,IDM,CAARREERS360,Publisher
idm,IDM,cad90 VJ38zp,
idm,IDM,cap1000,
idm,IDM,cap1002,
idm,IDM,careeer360,Publisher
idm,IDM,career360,Publisher
idm,IDM,careers360,Publisher
idm,IDM,Careers360,Publisher
idm,IDM,CDC,
idm,IDM,chat,Organic
idm,IDM,Chat,Organic
idm,IDM,chatbot,Organic
idm,IDM,Chatgpt,Meta
idm,IDM,chatgpt.com,Meta
idm,IDM,chatgpt.com#professional-certification,Meta
idm,IDM,cidco event,BTL
idm,IDM,CJ003,
idm,IDM,Coaching Institute,Agents
idm,IDM,coachinginstitute,Agents
idm,IDM,collegedunia,Publisher
idm,IDM,Collegedunia,Publisher
idm,IDM,colleges/schools,Agents
idm,IDM,Colleges/Schools,Agents
idm,IDM,Colourking,Agents
idm,IDM,com.google.android.googlequicksearchbox,Meta
idm,IDM,consultant,Agents
idm,IDM,Consultant,Agents
idm,IDM,creativeedge,invalid
idm,IDM,cv55 PNP28,
idm,IDM,d2,
idm,IDM,database,Data Base
idm,IDM,Database,Data Base
idm,IDM,default_medium,
idm,IDM,default_source,
idm,IDM,Demand-Gen,
idm,IDM,Design Ifffa,
idm,IDM,designifffa,
idm,IDM,Desizn Circle,
idm,IDM,desizncircle,
idm,IDM,digitalbrochure,
idm,IDM,direct,Organic
idm,IDM,Direct,Organic
idm,IDM,educon,
idm,IDM,Educon,
idm,IDM,exhibition banner,
idm,IDM,facebook,Meta
idm,IDM,Facebook,Meta
idm,IDM,flyer,BTL
idm,IDM,Forms,
idm,IDM,fs,
idm,IDM,G31,
idm,IDM,G31_V,
idm,IDM,G310,
idm,IDM,G32,
idm,IDM,G33,
idm,IDM,G39,
idm,IDM,G47,
idm,IDM,GBP,
idm,IDM,google,Meta
idm,IDM,Google Ads,Meta
idm,IDM,GQ,
idm,IDM,GQ_V,
idm,IDM,idm_qr_code,
idm,IDM,idm2026,
idm,IDM,idmbachelorofdesigninanimationandvfxpage,
idm,IDM,idmbachelorofdesigninfashiondesignpage,
idm,IDM,idmbachelorofdesignininteriordesignpage,
idm,IDM,inbound call,Incomming calls
idm,IDM,Inbound Call,Incomming calls
idm,IDM,Instagram,
idm,IDM,instituteofdesignandmediapage,
idm,IDM,Interest-AI-PROOF-Mumbai,
idm,IDM,Interest-IOS-Mumbai,
idm,IDM,Interest-UCEED-Mumbai,
idm,IDM,Isu,
idm,IDM,Itm,
idm,IDM,ITM Alumnus,
idm,IDM,ITM Website,Organic
idm,IDM,JZ2,
idm,IDM,k100,
idm,IDM,K1059,
idm,IDM,KA100,
idm,IDM,kollegeapply,Publisher
idm,IDM,KollegeApply,Publisher
idm,IDM,KWA24,
idm,IDM,KWA75,
idm,IDM,KWA82,
idm,IDM,KWV24,
idm,IDM,last year data,Data Base
idm,IDM,Lat1,
idm,IDM,Lat1_d,
idm,IDM,lead nurturing,Organic
idm,IDM,Lead Nurturing,Organic
idm,IDM,lead nururing,Organic
idm,IDM,Lead-Gen,
idm,IDM,LeadAd,
idm,IDM,LG,
idm,IDM,liveform,
idm,IDM,LTM01,
idm,IDM,m14,
idm,IDM,m15,
idm,IDM,m16,
idm,IDM,ma11,
idm,IDM,ma53,
idm,IDM,ma69,
idm,IDM,ma70,
idm,IDM,ma72,
idm,IDM,MI331,
idm,IDM,Mobile App,
idm,IDM,MYCIVA,
idm,IDM,NA,
idm,IDM,New ITM Student,
idm,IDM,Nopaperforms,
idm,IDM,Not Mapped,
idm,IDM,Offline,
idm,IDM,online_content,
idm,IDM,organic,Organic
idm,IDM,Organic,Organic
idm,IDM,Other Campaigns,
idm,IDM,others,
idm,IDM,outbound call,invalid
idm,IDM,Outbound Call,invalid
idm,IDM,paid,Meta
idm,IDM,Paid Ads,Meta
idm,IDM,placementpage,
idm,IDM,PNP85,Agents
idm,IDM,PNP89,Agents
idm,IDM,pop_socket,
idm,IDM,Premium Database,Data Base
idm,IDM,Previous Year Paper,
idm,IDM,prospect data,Data Base
idm,IDM,Prospect Data,Data Base
idm,IDM,Publisher Campaign,Publisher
idm,IDM,RD5,
idm,IDM,referral,Referral
idm,IDM,Referral,Referral
idm,IDM,response,
idm,IDM,s15302604,Agents
idm,IDM,S15302604,Agents
idm,IDM,Samarth Educares,Agents
idm,IDM,samartheducares,Agents
idm,IDM,sarvgyan,Agents
idm,IDM,Sarvgyan,Agents
idm,IDM,search,Meta
idm,IDM,shiksha,Publisher
idm,IDM,Shiksha,Publisher
idm,IDM,Silica,Agents
idm,IDM,SINGING LINES,
idm,IDM,singinglines,
idm,IDM,social,Meta
idm,IDM,Social,Meta
idm,IDM,standbanner,BTTL
idm,IDM,Telephony,Incomming calls
idm,IDM,Telephony Inbound,Incomming calls
idm,IDM,Telephony Outbound,Incomming calls
idm,IDM,thankyoupage,Organic
idm,IDM,Top Rankers,invalid
idm,IDM,TQi1,invalid
idm,IDM,twigz network,Publisher
idm,IDM,twigz_network,Publisher
idm,IDM,uceed,Data Base
idm,IDM,urmis arts,Agents
idm,IDM,Urmis Arts,Agents
idm,IDM,urmisarts,Agents
idm,IDM,VD_10,Data Base
idm,IDM,VJ38d,Data Base
idm,IDM,VJ38e,Data Base
idm,IDM,VJ38zp,Data Base
idm,IDM,VJ398a,Data Base
idm,IDM,VJ62,Data Base
idm,IDM,Walk In,Walk - in
idm,IDM,walk ins,Walk - in
idm,IDM,Walk Ins,Walk - in
idm,IDM,web,Organic
idm,IDM,Web,Organic
idm,IDM,website,Organic
idm,IDM,Website,Organic
idm,IDM,Website Chat,Organic
idm,IDM,websitepyq,Organic
idm,IDM,whatsapp,Organic
idm,IDM,whatsappleadnurturing_medium=i_ux_1,Organic
idm,IDM,yahoo,Meta
idm,IDM,Zin3,Meta
ihm,IHM,2271775144,invalid
ihm,IHM,12th-comm,Data Base
ihm,IHM,1725678642,invalid
ihm,IHM,1725678643,invalid
ihm,IHM,208,Data Base
ihm,IHM,211,Data Base
ihm,IHM,211_RV,Data Base
ihm,IHM,214,Data Base
ihm,IHM,217,Data Base
ihm,IHM,217_RV,Data Base
ihm,IHM,220,Data Base
ihm,IHM,227,Data Base
ihm,IHM,227_RV,Data Base
ihm,IHM,230,Data Base
ihm,IHM,255,Data Base
ihm,IHM,262,Data Base
ihm,IHM,agents,Agents
ihm,IHM,Agents,Agents
ihm,IHM,bing,Meta
ihm,IHM,Bing,Meta
ihm,IHM,blog,Organic
ihm,IHM,Blog,Organic
ihm,IHM,bm51,Data Base
ihm,IHM,bm54,Data Base
ihm,IHM,btl,BTL
ihm,IHM,BTL,BTL
ihm,IHM,btl activity ihm nerul,BTL
ihm,IHM,BTL Activity IHM Nerul,BTL
ihm,IHM,btl activity ihm oshiwara,BTL
ihm,IHM,BTL Activity IHM Oshiwara,BTL
