workspace,sort_order,source
idm,75,BRDS
idm,76,brochure
idm,77,btl
idm,78,BTL
idm,79,C10_3
idm,80,ca147 comp
idm,81,ca55 KA91
idm,82,ca55 kapp01
idm,83,CAARREERS360
idm,84,cad90 VJ38zp
idm,85,cap1000
idm,86,cap1002
idm,87,careeer360
idm,88,career360
idm,89,careers360
idm,90,Careers360
idm,91,CDC
idm,92,chat
idm,93,Chat
idm,94,chatbot
idm,95,Chatgpt
idm,96,chatgpt.com
idm,97,chatgpt.com#professional-certification
idm,98,cidco event
idm,99,CJ003
idm,100,Coaching Institute
idm,101,coachinginstitute
idm,102,collegedunia
idm,103,Collegedunia
idm,104,colleges/schools
idm,105,Colleges/Schools
idm,106,Colourking
idm,107,com.google.android.googlequicksearchbox
idm,108,consultant
idm,109,Consultant
idm,110,creativeedge
idm,111,cv55 PNP28
idm,112,d2
idm,113,database
idm,114,Database
idm,115,default_medium
idm,116,default_source
idm,117,Demand-Gen
idm,118,Design Ifffa
idm,119,designifffa
idm,120,Desizn Circle
idm,121,desizncircle
idm,122,digitalbrochure
idm,123,direct
idm,124,Direct
idm,125,educon
idm,126,Educon
idm,127,exhibition banner
idm,128,facebook
idm,129,Facebook
idm,130,flyer
idm,131,Forms
idm,132,fs
idm,133,G31
idm,134,G31_V
idm,135,G310
idm,136,G32
idm,137,G33
idm,138,G39
idm,139,G47
idm,140,GBP
idm,141,google
idm,142,Google Ads
idm,143,GQ
idm,144,GQ_V
idm,145,idm_qr_code
idm,146,idm2026
idm,147,idmbachelorofdesigninanimationandvfxpage
idm,148,idmbachelorofdesigninfashiondesignpage
idm,149,idmbachelorofdesignininteriordesignpage
idm,150,inbound call
idm,151,Inbound Call
idm,152,Instagram
idm,153,instituteofdesignandmediapage
idm,154,Interest-AI-PROOF-Mumbai
idm,155,Interest-IOS-Mumbai
idm,156,Interest-UCEED-Mumbai
idm,157,Isu
idm,158,Itm
idm,159,ITM Alumnus
idm,160,ITM Website
idm,161,JZ2
idm,162,k100
idm,163,K1059
idm,164,KA100
idm,165,kollegeapply
idm,166,KollegeApply
idm,167,KWA24
idm,168,KWA75
idm,169,KWA82
idm,170,KWV24
idm,171,last year data
idm,172,Lat1
idm,173,Lat1_d
idm,174,lead nurturing
idm,175,Lead Nurturing
idm,176,lead nururing
idm,177,Lead-Gen
idm,178,LeadAd
idm,179,LG
idm,180,liveform
idm,181,LTM01
idm,182,m14
