workspace_slug,workspace_name,template_name,event_count
idm,IDM,vc_ie1,78
idm,IDM,vc_ie2,60
idm,IDM,vc_ie4,60
idm,IDM,vc_ie5,55
ihm,IHM,common_leadnurturing01,1158
ihm,IHM,common_leadnurturing2,1399
ihm,IHM,common_leadnurturing3,904
ihm,IHM,common_leadnurturing4,3970
ihm,IHM,common_leadnurturing5,3791
ihm,IHM,common_leadnurturing6,1726
ihm,IHM,common_leadnurturing7,2353
ihm,IHM,not_eligible_message01,77
ihm,IHM,not_interested_message1,516
ihm,IHM,retention_1,4673
mba,MBA,abhijit_sarkar,3
mba,MBA,agent_broadcast,545
mba,MBA,agent_message1,422
mba,MBA,agent_message12,495
mba,MBA,agent_message13,487
mba,MBA,agent_message14,486
mba,MBA,agent_message18,498
mba,MBA,agent_message7,408
mba,MBA,agents_msg_1,2
mba,MBA,appint_msg1,1333
mba,MBA,appint_msg2,944
mba,MBA,appint_msg3,1886
mba,MBA,appint_msg4,194
mba,MBA,appint_msg5,166
mba,MBA,appint_msg6,167
mba,MBA,application_form_test,4
mba,MBA,applicationformtest,9795
mba,MBA,appsubmitted_not_interested1,688
mba,MBA,broadcast_msg_1,90
mba,MBA,btl_followup1,509
mba,MBA,btl_followup2,436
mba,MBA,btl_followup3,499
mba,MBA,btl_nc1,527
mba,MBA,btl_nc2,514
mba,MBA,btl_nc3,486
mba,MBA,btl_notelig1,27
mba,MBA,btl_notint1,234
mba,MBA,btl_un1,10
mba,MBA,btl_un2,8
mba,MBA,btl_un3,8
mba,MBA,btl_un4,5
mba,MBA,btl_un5,9
mba,MBA,business_analytics_1,1332
mba,MBA,business_reten_2,804
mba,MBA,cat_jaipur,6
mba,MBA,cl_amritsar,2
mba,MBA,cl_amritsar_20,4
mba,MBA,cl_bhubaneshwar,3
mba,MBA,cl_bhubaneshwar_20,5
mba,MBA,cl_faridabad,5
mba,MBA,cl_faridabad_u3,5
mba,MBA,cl_gurgaon,46
mba,MBA,cl_gurgaon_20,130
mba,MBA,cl_jamshedpur,10
mba,MBA,cl_jamshedpur_20,8
mba,MBA,cl_kolkata,3
mba,MBA,cl_kolkata_20,2
mba,MBA,cl_ranchi,6
mba,MBA,cl_ranchi_20,8
mba,MBA,copy_of_copy_of_micro_1,22
mba,MBA,copy_of_final_rem_1,4
mba,MBA,copy_of_mba_open_1,15
