course_label,source,count
"Oshiwara, Andheri (w)",direct,2
"Oshiwara, Andheri (w)",google,139
"Oshiwara, Andheri (w)",kollegeapply,1077
"Oshiwara, Andheri (w)",lead nurturing,1
"Oshiwara, Andheri (w)",organic,1
"Oshiwara, Andheri (w)",perplexity,1
"Oshiwara, Andheri (w)",referral,27
"Oshiwara, Andheri (w)",shiksha,15
"Oshiwara, Andheri (w)",social,5
"Oshiwara, Andheri (w)",web,1
"Oshiwara, Andheri (w)",website,28
Specialization Not Available,API,807
Specialization Not Available,Agents,92
Specialization Not Available,Calendly,1
Specialization Not Available,Chat,185
Specialization Not Available,Database,29615
Specialization Not Available,Facebook,164
Specialization Not Available,Inbound Call,198
Specialization Not Available,Incoming Calls,18
Specialization Not Available,Offline,99028
Specialization Not Available,Online,500
Specialization Not Available,Organic,2
Specialization Not Available,Referral,7
Specialization Not Available,Shiksha,1
Specialization Not Available,Telephony,545
Specialization Not Available,Twigz,2
Specialization Not Available,Walk In,4
Specialization Not Available,Web,11
Specialization Not Available,Widget,3967
Specialization Not Available,btl,7553
Specialization Not Available,chat,2
Specialization Not Available,chatgpt.com,1
Specialization Not Available,database,2168
Specialization Not Available,default_source,3
Specialization Not Available,direct,18
Specialization Not Available,google,2
Specialization Not Available,organic,23
Specialization Not Available,other,1
Specialization Not Available,partner164,49
Specialization Not Available,partner166,2
Specialization Not Available,partner167,1
Specialization Not Available,partner89,1
Specialization Not Available,referral,1
Specialization Not Available,web,9
Specialization Not Available,whatsapp,26
