workspace,bucket,field_path,source_value
mba,crm_distinct_field,source.channel,Shiksha
mba,crm_distinct_field,source.channel,Telephony
mba,crm_distinct_field,source.channel,Twigz
mba,crm_distinct_field,source.channel,Walk In
mba,crm_distinct_field,source.channel,Walk-in
mba,crm_distinct_field,source.channel,Walkin
mba,crm_distinct_field,source.channel,Web
mba,crm_distinct_field,source.channel,Website
mba,crm_distinct_field,source.channel,Widget
mba,crm_distinct_field,source.channel,agents
mba,crm_distinct_field,source.channel,bing
mba,crm_distinct_field,source.channel,blog
mba,crm_distinct_field,source.channel,btl
mba,crm_distinct_field,source.channel,btl activity ihm nerul
mba,crm_distinct_field,source.channel,btl activity ihm oshiwara
mba,crm_distinct_field,source.channel,btl rom
mba,crm_distinct_field,source.channel,careers360
mba,crm_distinct_field,source.channel,chat
mba,crm_distinct_field,source.channel,chatgpt.com
mba,crm_distinct_field,source.channel,chatgpt.com?utm_source=web
mba,crm_distinct_field,source.channel,college_direct
mba,crm_distinct_field,source.channel,collegedunia
mba,crm_distinct_field,source.channel,database
mba,crm_distinct_field,source.channel,default_source
mba,crm_distinct_field,source.channel,direct
mba,crm_distinct_field,source.channel,facebook
mba,crm_distinct_field,source.channel,flyer
mba,crm_distinct_field,source.channel,gdn
mba,crm_distinct_field,source.channel,google
mba,crm_distinct_field,source.channel,kollegeapply
mba,crm_distinct_field,source.channel,lead nurturing
mba,crm_distinct_field,source.channel,letsupgrade
mba,crm_distinct_field,source.channel,organic
mba,crm_distinct_field,source.channel,other
mba,crm_distinct_field,source.channel,partner10
mba,crm_distinct_field,source.channel,partner100
mba,crm_distinct_field,source.channel,partner12
mba,crm_distinct_field,source.channel,partner121
mba,crm_distinct_field,source.channel,partner137
mba,crm_distinct_field,source.channel,partner140
mba,crm_distinct_field,source.channel,partner150
mba,crm_distinct_field,source.channel,partner164
mba,crm_distinct_field,source.channel,partner166
mba,crm_distinct_field,source.channel,partner167
mba,crm_distinct_field,source.channel,partner186
mba,crm_distinct_field,source.channel,partner196
mba,crm_distinct_field,source.channel,partner2
mba,crm_distinct_field,source.channel,partner223
mba,crm_distinct_field,source.channel,partner225
mba,crm_distinct_field,source.channel,partner230
mba,crm_distinct_field,source.channel,partner240
mba,crm_distinct_field,source.channel,partner241
mba,crm_distinct_field,source.channel,partner30
mba,crm_distinct_field,source.channel,partner33
mba,crm_distinct_field,source.channel,partner34
mba,crm_distinct_field,source.channel,partner37
mba,crm_distinct_field,source.channel,partner4
mba,crm_distinct_field,source.channel,partner51
mba,crm_distinct_field,source.channel,partner54
mba,crm_distinct_field,source.channel,partner66
mba,crm_distinct_field,source.channel,partner74
mba,crm_distinct_field,source.channel,partner78
mba,crm_distinct_field,source.channel,partner82
mba,crm_distinct_field,source.channel,partner89
