workspace_slug,workspace_name,source
idm,IDM,G310
idm,IDM,G32
idm,IDM,G33
idm,IDM,G39
idm,IDM,G47
idm,IDM,GBP
idm,IDM,google
idm,IDM,Google Ads
idm,IDM,GQ
idm,IDM,GQ_V
idm,IDM,idm_qr_code
idm,IDM,idm2026
idm,IDM,idmbachelorofdesigninanimationandvfxpage
idm,IDM,idmbachelorofdesigninfashiondesignpage
idm,IDM,idmbachelorofdesignininteriordesignpage
idm,IDM,inbound call
idm,IDM,Inbound Call
idm,IDM,Instagram
idm,IDM,instituteofdesignandmediapage
idm,IDM,Interest-AI-PROOF-Mumbai
idm,IDM,Interest-IOS-Mumbai
idm,IDM,Interest-UCEED-Mumbai
idm,IDM,Isu
idm,IDM,Itm
idm,IDM,ITM Alumnus
idm,IDM,ITM Website
idm,IDM,JZ2
idm,IDM,k100
idm,IDM,K1059
idm,IDM,KA100
idm,IDM,kollegeapply
idm,IDM,KollegeApply
idm,IDM,KWA24
idm,IDM,KWA75
idm,IDM,KWA82
idm,IDM,KWV24
idm,IDM,last year data
idm,IDM,Lat1
idm,IDM,Lat1_d
idm,IDM,lead nurturing
idm,IDM,Lead Nurturing
idm,IDM,lead nururing
idm,IDM,Lead-Gen
idm,IDM,LeadAd
idm,IDM,LG
idm,IDM,liveform
idm,IDM,LTM01
idm,IDM,m14
idm,IDM,m15
idm,IDM,m16
idm,IDM,ma11
idm,IDM,ma53
idm,IDM,ma69
idm,IDM,ma70
idm,IDM,ma72
idm,IDM,MI331
idm,IDM,Mobile App
idm,IDM,MYCIVA
idm,IDM,NA
idm,IDM,New ITM Student
idm,IDM,Nopaperforms
idm,IDM,Not Mapped
idm,IDM,Offline
idm,IDM,online_content
idm,IDM,organic
idm,IDM,Organic
idm,IDM,Other Campaigns
idm,IDM,others
idm,IDM,outbound call
idm,IDM,Outbound Call
idm,IDM,paid
idm,IDM,Paid Ads
idm,IDM,placementpage
idm,IDM,PNP85
idm,IDM,PNP89
idm,IDM,pop_socket
idm,IDM,Premium Database
idm,IDM,Previous Year Paper
idm,IDM,prospect data
idm,IDM,Prospect Data
idm,IDM,Publisher Campaign
idm,IDM,RD5
idm,IDM,referral
idm,IDM,Referral
idm,IDM,response
idm,IDM,s15302604
idm,IDM,S15302604
idm,IDM,Samarth Educares
