course_label,source,count
(no course label),(no source),509
B.Des in Animation & VFX,(no source),508
B.Des in Fashion Design,(no source),609
B.Des in Interior Design,(no source),415
B.Des in UX Design,(no source),412
B.Des in Visual Communication,(no source),585
