stream_id,course_label,source,count
MBA_itm_crm_leads,MBA iConnect,partner10,1
MBA_itm_crm_leads,MBA iConnect,partner100,1
MBA_itm_crm_leads,MBA iConnect,partner12,2
MBA_itm_crm_leads,MBA iConnect,partner121,1
MBA_itm_crm_leads,MBA iConnect,partner137,2
MBA_itm_crm_leads,MBA iConnect,partner140,1
MBA_itm_crm_leads,MBA iConnect,partner150,2
MBA_itm_crm_leads,MBA iConnect,partner186,2
MBA_itm_crm_leads,MBA iConnect,partner196,1
MBA_itm_crm_leads,MBA iConnect,partner2,2
MBA_itm_crm_leads,MBA iConnect,partner223,1
MBA_itm_crm_leads,MBA iConnect,partner225,1
MBA_itm_crm_leads,MBA iConnect,partner230,1
MBA_itm_crm_leads,MBA iConnect,partner240,1
MBA_itm_crm_leads,MBA iConnect,partner241,1
MBA_itm_crm_leads,MBA iConnect,partner30,1
MBA_itm_crm_leads,MBA iConnect,partner33,1
MBA_itm_crm_leads,MBA iConnect,partner34,1
MBA_itm_crm_leads,MBA iConnect,partner37,1
MBA_itm_crm_leads,MBA iConnect,partner4,9
MBA_itm_crm_leads,MBA iConnect,partner51,1
MBA_itm_crm_leads,MBA iConnect,partner54,1
MBA_itm_crm_leads,MBA iConnect,partner66,2
MBA_itm_crm_leads,MBA iConnect,partner74,1
MBA_itm_crm_leads,MBA iConnect,partner78,1
MBA_itm_crm_leads,MBA iConnect,partner82,2
MBA_itm_crm_leads,MBA iConnect,partner96,2
MBA_itm_crm_leads,MBA iConnect,referral,78
MBA_itm_crm_leads,MBA iConnect,remarketing,45
MBA_itm_crm_leads,MBA iConnect,shiksha,5740
MBA_itm_crm_leads,MBA iConnect,social,2
MBA_itm_crm_leads,MBA iConnect,visitingCard,1
MBA_itm_crm_leads,MBA iConnect,wa,3
MBA_itm_crm_leads,MBA iConnect,web,16
MBA_itm_crm_leads,MBA iConnect,website,288
MBA_itm_crm_leads,MBA iConnect,websitepyq,251
MBA_itm_crm_leads,MBA in Applied AI,Organic,1
MBA_itm_crm_leads,MBA in Applied AI,database,1
MBA_itm_crm_leads,MBA in Applied AI,direct,4
MBA_itm_crm_leads,MBA in Applied AI,google,18
MBA_itm_crm_leads,MBA in Applied AI,letsupgrade,24
MBA_itm_crm_leads,MBA in Applied AI,referral,2
MBA_itm_crm_leads,MBA in Applied AI,website,5
MBA_itm_crm_leads,Marketing,Inbound Call,1
MBA_itm_crm_leads,Nerul (Navi Mumbai),Agents,191
MBA_itm_crm_leads,Nerul (Navi Mumbai),BTL Activity IHM Nerul,4
MBA_itm_crm_leads,Nerul (Navi Mumbai),BTL ROM,3
MBA_itm_crm_leads,Nerul (Navi Mumbai),Blog,52
MBA_itm_crm_leads,Nerul (Navi Mumbai),Database,8
MBA_itm_crm_leads,Nerul (Navi Mumbai),Direct Walk-in,1
MBA_itm_crm_leads,Nerul (Navi Mumbai),Facebook,349
MBA_itm_crm_leads,Nerul (Navi Mumbai),Inbound Call,15
MBA_itm_crm_leads,Nerul (Navi Mumbai),Incoming Calls,11
MBA_itm_crm_leads,Nerul (Navi Mumbai),Organic,8
MBA_itm_crm_leads,Nerul (Navi Mumbai),Outbound Call,1
MBA_itm_crm_leads,Nerul (Navi Mumbai),Referral,69
MBA_itm_crm_leads,Nerul (Navi Mumbai),Walk-in,13
MBA_itm_crm_leads,Nerul (Navi Mumbai),Website,17
MBA_itm_crm_leads,Nerul (Navi Mumbai),agents,75
MBA_itm_crm_leads,Nerul (Navi Mumbai),bing,1
MBA_itm_crm_leads,Nerul (Navi Mumbai),btl,4
MBA_itm_crm_leads,Nerul (Navi Mumbai),btl activity ihm nerul,2296
MBA_itm_crm_leads,Nerul (Navi Mumbai),btl rom,4203
MBA_itm_crm_leads,Nerul (Navi Mumbai),chatgpt.com,2
MBA_itm_crm_leads,Nerul (Navi Mumbai),collegedunia,11
MBA_itm_crm_leads,Nerul (Navi Mumbai),database,517
MBA_itm_crm_leads,Nerul (Navi Mumbai),default_source,3
MBA_itm_crm_leads,Nerul (Navi Mumbai),direct,5
MBA_itm_crm_leads,Nerul (Navi Mumbai),google,67
MBA_itm_crm_leads,Nerul (Navi Mumbai),kollegeapply,968
MBA_itm_crm_leads,Nerul (Navi Mumbai),lead nurturing,1
MBA_itm_crm_leads,Nerul (Navi Mumbai),organic,1
MBA_itm_crm_leads,Nerul (Navi Mumbai),referral,46
MBA_itm_crm_leads,Nerul (Navi Mumbai),shiksha,25
MBA_itm_crm_leads,Nerul (Navi Mumbai),social,3
MBA_itm_crm_leads,Nerul (Navi Mumbai),wa,1
MBA_itm_crm_leads,Nerul (Navi Mumbai),web,5
MBA_itm_crm_leads,Nerul (Navi Mumbai),website,177
MBA_itm_crm_leads,Nerul (Navi Mumbai),whatsapp,1
MBA_itm_crm_leads,Operations & Supply Chain Management,Telephony,1
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Agents,265
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",BTL Activity IHM Oshiwara,770
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Database,2
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Direct Walk-in,1
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Facebook,882
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Inbound Call,10
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Incoming Calls,33
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Organic,3
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Referral,26
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Walk-in,16
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",Web,2
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",agents,11
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",btl activity ihm oshiwara,2379
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",btl rom,268
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",collegedunia,8
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",database,140
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",default_source,1
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",direct,2
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",google,139
MBA_itm_crm_leads,"Oshiwara, Andheri (w)",kollegeapply,1077
